N°,Teléfono (marca/modelo),App Luz,App Sonido,Apps WiFi,Fecha,Hora,Biblioteca,Localidad,Dirección/Referencia,Tipo de espacio,Ocupación (personas),Evento inusual (S/N),Observaciones,Lux_1,Lux_2,Lux_3,Lux_promedio,dBA_1,dBA_2,dBA_3,dBA_prom,Bajada_1 (Mbps),Bajada_2 (Mbps),Bajada_3 (Mbps),Bajada_Mediana,Subida_1 (Mbps),Subida_2 (Mbps),Subida_3 (Mbps),Subida_mediana,archivo_fuente,hoja_fuente,Hora_dt,Franja,Lux_umbral,Cumple_Luz,Cumple_Ruido,Cumple_WiFi,Indice_Compuesto,Indice_Ponderado
14,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,32.0,S,Ruido elevado,196.0,200.0,198.0,198.0,47.0,49.0,48.0,48.0,12.0,11.7,11.4,11.7,9.9,9.6,9.3,9.6,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:30:00.000,Tarde,200,False,False,True,33.33333333333333,20.0
15,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,14:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,30.0,S,Conversación grupal,213.0,217.0,215.0,215.0,45.0,47.0,46.0,46.0,13.1,12.9,12.6,12.9,10.7,10.4,10.1,10.4,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 14:00:00.000,Tarde,200,True,False,True,66.66666666666666,60.00000000000001
16,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,20.0,N,Condición normal,220.0,224.0,222.0,222.0,38.0,40.0,39.0,39.0,16.0,15.8,15.5,15.8,12.9,12.6,12.3,12.6,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:00:00.000,Tarde-noche,200,True,True,True,100.0,100.0
17,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,18.0,N,Baja ocupación,228.0,232.0,230.0,230.0,36.0,38.0,37.0,37.0,17.3,17.1,16.8,17.1,14.2,13.9,13.6,13.9,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:30:00.000,Tarde-noche,200,True,True,True,100.0,100.0
18,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,18:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Estanterías,22.0,N,Condición estable,216.0,220.0,218.0,218.0,40.0,42.0,41.0,41.0,15.1,14.9,14.6,14.9,12.1,11.8,11.5,11.8,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 18:00:00.000,Tarde-noche,200,True,False,True,66.66666666666666,60.00000000000001
19,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,10.0,N,Zona tranquila,343.0,347.0,345.0,345.0,35.0,37.0,36.0,36.0,19.9,19.7,19.4,19.7,15.5,15.3,15.0,15.3,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:00:00.000,Manana,300,True,True,True,100.0,100.0
20,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,09:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,12.0,N,Tránsito moderado,358.0,362.0,360.0,360.0,37.0,39.0,38.0,38.0,20.3,20.1,19.8,20.1,16.5,16.2,15.9,16.2,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 09:30:00.000,Manana,300,True,True,True,100.0,100.0
21,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,10:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,11.0,N,Condición normal,370.0,374.0,372.0,372.0,36.0,38.0,37.0,37.0,19.2,18.9,18.6,18.9,15.3,15.0,14.7,15.0,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 10:00:00.000,Manana,300,True,True,True,100.0,100.0
22,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,25.0,S,Hora pico,316.0,320.0,318.0,318.0,48.0,50.0,49.0,49.0,14.4,14.2,13.9,14.2,11.4,11.1,10.8,11.1,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:00:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
23,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,13:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,28.0,S,Ruido alto,303.0,307.0,305.0,305.0,51.0,53.0,52.0,52.0,12.8,12.6,12.3,12.6,10.1,9.8,9.5,9.8,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 13:30:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
24,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,14:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,30.0,S,Alta congestión,320.0,324.0,322.0,322.0,49.0,51.0,50.0,50.0,13.9,13.7,13.4,13.7,10.8,10.5,10.2,10.5,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 14:00:00.000,Tarde,300,True,False,True,66.66666666666666,60.00000000000001
25,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,18.0,N,Tránsito medio,338.0,342.0,340.0,340.0,41.0,43.0,42.0,42.0,17.0,16.8,16.5,16.8,13.5,13.2,12.9,13.2,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:00:00.000,Tarde-noche,300,True,False,True,66.66666666666666,60.00000000000001
26,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,17:30:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,20.0,N,Condición estable,353.0,357.0,355.0,355.0,43.0,45.0,44.0,44.0,16.1,15.9,15.6,15.9,13.0,12.7,12.4,12.7,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 17:30:00.000,Tarde-noche,300,True,False,True,66.66666666666666,60.00000000000001
27,Samsung Galaxy S21,Lux Light Meter,Decibel X,WiFi Analyzer + Speedtest,2026-02-15 00:00:00.000000000,18:00:00,Luis Ángel Arango,La Candelaria,Calle 11 #4-14,Circulación,16.0,N,Zona tranquila,363.0,367.0,365.0,365.0,39.0,41.0,40.0,40.0,18.6,18.4,18.1,18.4,14.9,14.6,14.3,14.6,Angelica Maria Rodriguez Hernandez.xlsx,Registro,2026-04-14 18:00:00.000,Tarde-noche,300,True,True,True,100.0,100.0
1,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.09am,Parque vertical CEFE,Chapinero,Cl. 82 #10-69,Mesa de lectura,5.0,,,922.0,1024.0,1010.0,985.3333333333334,68.0,58.6,58.1,61.56666666666666,293.95,142.94,160.41,160.41,21.19,16.6,19.14,19.14,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
2,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.15am,Parque vertical CEFE,Chapinero,Cl. 82 #10-70,Mesa de lectura,5.0,,,945.0,1010.0,980.0,978.3333333333334,64.2,60.1,59.3,61.20000000000001,285.6,150.4,170.2,170.2,20.4,17.9,18.6,18.6,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
3,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.20am,Parque vertical CEFE,Chapinero,Cl. 82 #10-71,Mesa de lectura,5.0,,,970.0,995.0,1030.0,998.3333333333334,65.1,61.4,58.7,61.73333333333333,301.1,138.4,165.7,165.7,22.1,16.8,19.9,19.9,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
4,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.22am,Parque vertical CEFE,Chapinero,Cl. 82 #10-72,Estanteria de libros,2.0,,,720.0,765.0,740.0,741.6666666666666,56.3,54.8,52.6,54.56666666666666,240.0,130.6,142.3,142.3,18.2,15.4,16.8,16.8,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,200,True,False,True,66.66666666666666,60.00000000000001
5,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.27am,Parque vertical CEFE,Chapinero,Cl. 82 #10-73,Estanteria de libros,2.0,,,750.0,790.0,770.0,770.0,57.1,55.6,53.9,55.53333333333333,225.7,136.8,148.9,148.9,19.3,16.2,17.5,17.5,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,200,True,False,True,66.66666666666666,60.00000000000001
6,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.30am,Parque vertical CEFE,Chapinero,Cl. 82 #10-74,Estanteria de libros,2.0,,,695.0,730.0,715.0,713.3333333333334,55.4,53.9,51.8,53.699999999999996,235.8,128.1,139.7,139.7,17.6,14.9,16.1,16.1,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,200,True,False,True,66.66666666666666,60.00000000000001
7,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.33am,Parque vertical CEFE,Chapinero,Cl. 82 #10-75,Computadores,1.0,,,640.0,670.0,655.0,655.0,66.8,62.5,64.1,64.46666666666667,325.8,190.0,185.6,190.0,23.8,20.1,21.9,21.9,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
8,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.35am,Parque vertical CEFE,Chapinero,Cl. 82 #10-76,Computadores,1.0,,,615.0,650.0,635.0,633.3333333333334,62.6,63.8,65.4,63.93333333333334,340.7,300.1,179.7,300.1,25.1,21.4,23.2,23.2,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
9,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,11.37am,Parque vertical CEFE,Chapinero,Cl. 82 #10-77,Computadores,1.0,,,630.0,660.0,645.0,645.0,62.7,61.7,63.2,62.53333333333334,318.6,245.9,200.1,245.9,22.9,19.7,21.4,21.4,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 11:00:00.000,Manana,500,True,False,True,66.66666666666666,60.00000000000001
10,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:05pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-69,Mesa de lectura,5.0,,,869.0,841.0,629.0,779.6666666666666,56.2,58.5,50.1,54.93333333333334,326.55,167.98,150.9,167.98,24.32,16.8,12.27,16.8,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:05:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
11,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:10pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-70,Mesa de lectura,5.0,,,865.0,841.0,629.0,778.3333333333334,56.2,58.9,50.2,55.1,328.22,169.9,140.8,169.9,21.3,20.1,19.2,20.1,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:10:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
12,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:15pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-71,Mesa de lectura,5.0,,,850.0,825.0,790.0,821.6666666666666,60.2,64.2,61.2,61.866666666666674,295.2,190.23,140.6,190.23,22.4,20.1,18.2,20.1,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:15:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
13,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:17pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-72,Estanteria de libros,2.0,,,640.0,615.0,600.0,618.3333333333334,52.3,49.6,60.5,54.13333333333333,280.5,187.5,150.7,187.5,23.4,22.6,21.7,22.6,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:17:00.000,Tarde,200,True,False,True,66.66666666666666,60.00000000000001
14,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:24pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-73,Estanteria de libros,2.0,,,665.0,640.0,620.0,641.6666666666666,56.2,50.9,50.2,52.43333333333334,298.2,176.9,152.6,176.9,20.5,14.6,15.7,15.7,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:24:00.000,Tarde,200,True,False,True,66.66666666666666,60.00000000000001
15,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:30pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-74,Estanteria de libros,2.0,,,625.0,605.0,590.0,606.6666666666666,54.7,48.9,49.8,51.133333333333326,299.9,168.8,167.1,168.8,21.6,20.7,21.7,21.6,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:30:00.000,Tarde,200,True,False,True,66.66666666666666,60.00000000000001
16,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:35pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-75,Computadores,1.0,,,580.0,560.0,545.0,561.6666666666666,61.4,57.2,55.6,58.06666666666666,280.2,190.2,145.6,190.2,22.8,19.8,15.6,19.8,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:35:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
17,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:37pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-76,Computadores,1.0,,,595.0,575.0,560.0,576.6666666666666,62.3,61.4,60.8,61.5,290.1,176.44,147.1,176.44,20.5,18.4,16.7,18.4,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:37:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
18,Motorola Moto g34 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,1:42pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-77,Computadores,1.0,,,570.0,550.0,525.0,548.3333333333334,60.1,62.5,67.4,63.333333333333336,260.1,181.2,146.54,181.2,22.5,20.1,18.2,20.1,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,2026-04-14 13:42:00.000,Tarde,500,True,False,True,66.66666666666666,60.00000000000001
19,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,4.34pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-69,Mesa de lectura,5.0,,,1180.0,1260.0,1380.0,1273.3333333333333,94.6,86.3,84.3,88.39999999999999,72.1,15.7,45.3,45.3,5.3,7.8,1.45,5.3,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 16:00:00.000,Tarde-noche,500,True,False,True,66.66666666666666,60.00000000000001
20,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,4.50pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-70,Mesa de lectura,5.0,,,1230.0,1360.0,1380.0,1323.3333333333333,80.1,86.5,95.6,87.39999999999999,19.6,54.6,29.5,29.5,0.0,6.12,3.67,3.67,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 16:00:00.000,Tarde-noche,500,True,False,True,66.66666666666666,60.00000000000001
21,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,5.37pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-71,Mesa de lectura,5.0,,,1340.0,1160.0,1180.0,1226.6666666666667,78.4,70.5,60.5,69.8,34.8,10.5,68.4,34.8,2.24,4.9,0.85,2.24,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 17:00:00.000,Tarde-noche,500,True,False,True,66.66666666666666,60.00000000000001
22,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,4.39pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-72,Estanteria de libros,2.0,,,940.0,1120.0,1100.0,1053.3333333333333,70.9,70.6,65.8,69.10000000000001,42.1,57.9,16.2,42.1,7.01,1.3,6.5,6.5,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 16:00:00.000,Tarde-noche,200,True,False,True,66.66666666666666,60.00000000000001
23,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,4.50pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-73,Estanteria de libros,2.0,,,860.0,920.0,850.0,876.6666666666666,70.9,70.6,65.8,69.10000000000001,18.9,30.5,60.5,30.5,3.8,2.24,4.12,3.8,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 16:00:00.000,Tarde-noche,200,True,False,True,66.66666666666666,60.00000000000001
24,Oppo A80 5g,Lux Light Meter,Decibel X,WIFI Analyzer/ Speed Test For Wifi & Internet,2026-02-15 00:00:00.000000000,5.38pm,Parque vertical CEFE,Chapinero,Cl. 82 #10-74,Estanteria de libros,2.0,,,1100.0,1230.0,960.0,1096.6666666666667,68.4,72.1,66.3,68.93333333333334,69.8,12.3,50.1,50.1,6.7,0.0,5.3,5.3,Biblioteca_CEFE_Andres_Cortes_Juan_Pardo.xlsx,Registro,1-01-01 17:00:00.000,Tarde-noche,200,True,False,True,66.66666666666666,60.00000000000001
